# Solar Eclipse Obscuration file for 2017-08-21 19:05:00
grid,lat,lon,obsc
AE10,-49.5,-177.0,0.0
AE11,-48.5,-177.0,0.0
AE12,-47.5,-177.0,0.0
AE13,-46.5,-177.0,0.0
AE14,-45.5,-177.0,0.0
AE15,-44.5,-177.0,0.0
AE16,-43.5,-177.0,0.0
AE17,-42.5,-177.0,0.0
AE18,-41.5,-177.0,0.0
AE19,-40.5,-177.0,0.0
AF10,-39.5,-177.0,0.0
AF11,-38.5,-177.0,0.0
AF12,-37.5,-177.0,0.0
AF13,-36.5,-177.0,0.0
AF14,-35.5,-177.0,0.0
AF15,-34.5,-177.0,0.0
AF16,-33.5,-177.0,0.0
AF17,-32.5,-177.0,0.0
AF18,-31.5,-177.0,0.0
AF19,-30.5,-177.0,0.0
AG10,-29.5,-177.0,0.0
AG11,-28.5,-177.0,0.0
AG12,-27.5,-177.0,0.0
AG13,-26.5,-177.0,0.0
AG14,-25.5,-177.0,0.0
AG15,-24.5,-177.0,0.0
AG16,-23.5,-177.0,0.0
AG17,-22.5,-177.0,0.0
AG18,-21.5,-177.0,0.0
AG19,-20.5,-177.0,0.0
AH10,-19.5,-177.0,0.0
AH11,-18.5,-177.0,0.0
AH12,-17.5,-177.0,0.0
AH13,-16.5,-177.0,0.0
AH14,-15.5,-177.0,0.0
AH15,-14.5,-177.0,0.0
AH16,-13.5,-177.0,0.0
AH17,-12.5,-177.0,0.0
AH18,-11.5,-177.0,0.0
AH19,-10.5,-177.0,0.0
AI10,-9.5,-177.0,0.0
AI11,-8.5,-177.0,0.0
AI12,-7.5,-177.0,0.0
AI13,-6.5,-177.0,0.0
AI14,-5.5,-177.0,0.0
AI15,-4.5,-177.0,0.0
AI16,-3.5,-177.0,0.0
AI17,-2.5,-177.0,0.0
AI18,-1.5,-177.0,0.0
AI19,-0.5,-177.0,0.0
AJ10,0.5,-177.0,0.0
AJ11,1.5,-177.0,0.0
AJ12,2.5,-177.0,0.0
AJ13,3.5,-177.0,0.0
AJ14,4.5,-177.0,0.0
AJ15,5.5,-177.0,0.0
AJ16,6.5,-177.0,0.0
AJ17,7.5,-177.0,0.0
AJ18,8.5,-177.0,0.0
AJ19,9.5,-177.0,0.0
AK10,10.5,-177.0,0.0
AK11,11.5,-177.0,0.0
AK12,12.5,-177.0,0.0
AK13,13.5,-177.0,0.0
AK14,14.5,-177.0,0.0
AK15,15.5,-177.0,0.0
AK16,16.5,-177.0,0.0
AK17,17.5,-177.0,0.0
AK18,18.5,-177.0,0.0
AK19,19.5,-177.0,0.0
AL10,20.5,-177.0,0.0
AL11,21.5,-177.0,0.0
AL12,22.5,-177.0,0.0
AL13,23.5,-177.0,0.0
AL14,24.5,-177.0,0.0
AL15,25.5,-177.0,0.0
AL16,26.5,-177.0,0.0
AL17,27.5,-177.0,0.0
AL18,28.5,-177.0,0.0
AL19,29.5,-177.0,0.0
AM10,30.5,-177.0,0.0
AM11,31.5,-177.0,0.0
AM12,32.5,-177.0,0.0
AM13,33.5,-177.0,0.0
AM14,34.5,-177.0,0.0
AM15,35.5,-177.0,0.0
AM16,36.5,-177.0,0.0
AM17,37.5,-177.0,0.0
AM18,38.5,-177.0,0.0
AM19,39.5,-177.0,0.0
AN10,40.5,-177.0,0.0
AN11,41.5,-177.0,0.0
AN12,42.5,-177.0,0.0
AN13,43.5,-177.0,0.0
